"","expr","time","fun_name"
"757","Rcpp",5340,"dist"
"758","R",41317,"dist"
"759","R",41257,"dist"
"760","R",40646,"dist"
"761","Rcpp",5169,"dist"
"762","R",41057,"dist"
"763","Rcpp",4689,"dist"
"764","R",41177,"dist"
"765","Rcpp",4549,"dist"
"766","R",40696,"dist"
"767","Rcpp",4860,"dist"
"768","R",41167,"dist"
"769","R",41137,"dist"
"770","Rcpp",4969,"dist"
"771","R",41608,"dist"
"772","R",40556,"dist"
"773","Rcpp",4929,"dist"
"774","Rcpp",4008,"dist"
"775","Rcpp",4548,"dist"
"776","Rcpp",4248,"dist"
"777","R",41387,"dist"
"778","R",40997,"dist"
"779","Rcpp",4849,"dist"
"780","R",47269,"dist"
"781","R",40666,"dist"
"782","Rcpp",5320,"dist"
"783","Rcpp",4438,"dist"
"784","Rcpp",3877,"dist"
"785","Rcpp",4318,"dist"
"786","R",41718,"dist"
"787","Rcpp",4749,"dist"
"788","Rcpp",4177,"dist"
"789","R",41898,"dist"
"790","Rcpp",4539,"dist"
"791","R",40857,"dist"
"792","R",40155,"dist"
"793","R",40606,"dist"
"794","Rcpp",5300,"dist"
"795","Rcpp",4028,"dist"
"796","Rcpp",4178,"dist"
"797","Rcpp",3887,"dist"
"798","R",41699,"dist"
"799","R",41598,"dist"
"800","Rcpp",5040,"dist"
"801","Rcpp",4098,"dist"
"802","R",40706,"dist"
"803","R",41248,"dist"
"804","R",40736,"dist"
"805","R",40537,"dist"
"806","R",40886,"dist"
"807","Rcpp",5771,"dist"
"808","Rcpp",4127,"dist"
"809","R",41638,"dist"
"810","R",40997,"dist"
"811","R",40616,"dist"
"812","R",41057,"dist"
"813","R",40746,"dist"
"814","R",40426,"dist"
"815","Rcpp",5581,"dist"
"816","R",41087,"dist"
"817","R",40166,"dist"
"818","R",46076,"dist"
"819","R",41277,"dist"
"820","Rcpp",5581,"dist"
"821","R",40957,"dist"
"822","R",40566,"dist"
"823","Rcpp",5140,"dist"
"824","R",41047,"dist"
"825","R",40967,"dist"
"826","Rcpp",5050,"dist"
"827","R",41518,"dist"
"828","R",41268,"dist"
"829","Rcpp",5470,"dist"
"830","Rcpp",4138,"dist"
"831","Rcpp",4258,"dist"
"832","Rcpp",3988,"dist"
"833","Rcpp",4028,"dist"
"834","R",42740,"dist"
"835","Rcpp",4739,"dist"
"836","R",42360,"dist"
"837","R",41037,"dist"
"838","R",41718,"dist"
"839","R",42018,"dist"
"840","Rcpp",6051,"dist"
"841","Rcpp",4188,"dist"
"842","R",42440,"dist"
"843","Rcpp",4899,"dist"
"844","R",42039,"dist"
"845","R",41689,"dist"
"846","Rcpp",5290,"dist"
"847","Rcpp",4438,"dist"
"848","Rcpp",4478,"dist"
"849","Rcpp",4208,"dist"
"850","Rcpp",4098,"dist"
"851","Rcpp",4108,"dist"
"852","Rcpp",4158,"dist"
